,USEcoUncertaintyxTrend
2013-03-31,-22.284066116231457
2013-04-30,-70.46323726318481
2013-05-31,-77.76662973630312
2013-06-30,-67.14311987967228
2013-07-31,-49.05941020225295
2013-08-31,-44.67416826676906
2013-09-30,-18.344032066052208
2013-10-31,40.004666858678945
2013-11-30,-42.096078661034326
2013-12-31,-24.9036539298515
2014-01-31,-11.183627048131072
2014-02-28,-18.176433307731685
2014-03-31,-23.32901779313876
2014-04-30,-30.38235739887353
2014-05-31,-24.908647721454173
2014-06-30,-23.35072836661547
2014-07-31,-18.117104710701483
2014-08-31,-33.69492729134665
2014-09-30,-24.369224782386077
2014-10-31,-6.885412954429071
2014-11-30,-12.856102022529441
2014-12-31,-2.7343977214541724
2015-01-31,12.921811955965183
2015-02-28,2.165467869943683
2015-03-31,-3.3288524065540273
2015-04-30,0.23714221710189065
2015-05-31,-2.471271761392728
2015-06-30,1.8508841525857633
2015-07-31,8.97698092677932
2015-08-31,8.803244367639536
2015-09-30,17.429748847926263
2015-10-31,-3.83617588325653
2015-11-30,-13.854844342037893
2015-12-31,1.311881464413716
2016-01-31,10.634300819252445
2016-02-29,8.328532505252753
2016-03-31,-7.085432085032757
2016-04-30,-17.146904307254985
2016-05-31,-13.761119361018402
2016-06-30,59.153434402422434
2016-07-31,18.47892902607836
2016-08-31,-4.39529140402918
2016-09-30,-22.454149826968226
2016-10-31,-3.604934773204789
2016-11-30,46.77414139166977
2016-12-31,40.62503386478805
2017-01-31,55.520517735755774
2017-02-28,27.43782840501791
2017-03-31,16.761323028673843
2017-04-30,1.1880309139784941
2017-05-31,-11.06292607526882
2017-06-30,-4.976614247311829
2017-07-31,-0.10583467741936659
2017-08-31,-27.3833884408602
2017-09-30,-19.308324820788513
2017-10-31,-33.34902912186381
2017-11-30,-9.491563172043016
2017-12-31,-7.3344395161290095
2018-01-31,19.337603494623636
2018-02-28,-8.474747695852543
2018-03-31,-13.097754608294949
2018-04-30,0.18580005120327314
2018-05-31,-0.182619303635434
2018-06-30,15.011850230414723
2018-07-31,10.822812596006173
2018-08-31,-4.025009984639013
2018-09-30,-20.97477611367127
2018-10-31,0.2437937788018445
2018-11-30,-9.558579877112138
2018-12-31,35.422296466973876
2019-01-31,51.82786098310292
2019-02-28,-11.993516705069126
2019-03-31,-1.510809331797205
2019-04-30,-16.606844278033776
2019-05-31,-1.4423227726574623
2019-06-30,38.677641385048645
2019-07-31,-3.502380120327686
2019-08-31,51.14116826676907
2019-09-30,9.96958134920635
2019-10-31,-10.980483166922667
2019-11-30,-28.072219726062457
2019-12-31,12.71198995135687
2020-01-31,4.521828661034306
2020-02-29,5.15650896057349
2020-03-31,248.47508422939066
2020-04-30,383.6946012544803
2020-05-31,280.07469265232976
2020-06-30,95.09632347670251
2020-07-31,118.578226702509
2020-08-31,45.76629121863803
2020-09-30,-15.869621863799296
2020-10-31,-6.629137992831545
2020-11-30,-28.67585394265234
2020-12-31,-64.46885394265234
2021-01-31,-95.91277867383513
2021-02-28,-161.00664388120842
2021-03-31,-121.72715847414233
2021-04-30,-139.87809395801332
2021-05-31,-103.35247030209936
2021-06-30,-102.92047567844342
2021-07-31,-66.93596492575523
2021-08-31,-58.265212237583185
